StationId,Latitude,Longitude,Elevation,Name,CountryCode
US009052008,43.7333,-96.6333,482.0,SIOUX FALLS (ENVIRON. CAN,US
US10RMHS145,40.5268,105.1113,1569.1,RMHS 1.6 SSW,US
US10adam001,40.568,-98.5069,598.0,JUNIATA 1.5 S,US
US10adam002,40.5093,-98.5493,601.1,JUNIATA 6.0 SSW,US
US10adam003,40.4663,-98.6537,615.1,HOLSTEIN 0.1 NW,US
US10adam004,40.4798,-98.4026,570.0,AYR 3.5 NE,US
US10adam006,40.4372,-98.5912,601.1,ROSELAND 2.8 SW,US
US10adam007,40.5389,-98.4713,588.9,HASTINGS 5.4 WSW,US
US10adam008,40.4953,-98.2973,566.9,GLENVIL 2.3 WSW,US
US10adam010,40.5532,-98.6297,622.1,JUNIATA 6.9 WSW,US
US10adam011,40.4078,-98.6161,593.1,ROSELAND 5.2 SW,US
US10adam012,40.62,-98.39,588.9,HASTINGS 2.3 N,US
US10adam013,40.66,-98.42,598.0,HASTINGS 5.3 NNW,US
US10adam015,40.6258,-98.7034,632.2,KENESAW 2.4 W,US
US10adam016,40.64,-98.3949,598.0,HASTINGS 3.7 N,US
US10adam017,40.6567,-98.4789,607.2,JUNIATA 4.8 NNE,US
US10adam019,40.6114,-98.5543,619.0,JUNIATA 2.9 WNW,US
US10adam022,40.5936,-98.4299,597.1,HASTINGS 2.2 W,US
US10adam023,40.5981,-98.4732,602.0,JUNIATA 1.8 ENE,US
US10adam024,40.3901,-98.2715,548.9,BLUE HILL 6.3 ENE,US
US10adam025,40.6004,-98.3986,587.0,HASTINGS 1.1 NW,US
US10adam027,40.5998,-98.4723,597.1,JUNIATA 1.9 ENE,US
US10adam028,40.4653,-98.6517,616.0,HOLSTEIN 0.1 ESE,US
US10adam029,40.5536,-98.3166,616.0,HASTINGS 4.4 ESE,US
US10adam032,40.3571,-98.4208,616.0,BLUE HILL 2.2 NE,US
US10adam033,40.4127,-98.3538,616.0,GLENVIL 8.3 SW,US
US10adam034,40.6129,-98.6482,616.0,KENESAW 0.8 SE,US
US10adam035,40.607,-98.4588,616.0,JUNIATA 2.7 ENE,US
US10adam036,40.5609,-98.402,616.0,HASTINGS 1.9 SSW,US
US10adam039,40.602,-98.4048,616.0,HASTINGS 1.4 NW,US
US10adam041,40.434,-98.4389,616.0,AYR 0.3 SSE,US
US10adam043,40.5917,-98.5092,616.0,JUNIATA 0.2 WNW,US
US10adam045,40.6121,-98.3888,616.0,HASTINGS 1.8 N,US
US10adam046,40.5443,-98.4208,616.0,HASTINGS 3.3 SW,US
US10adam047,40.5917,-98.4287,616.0,HASTINGS 2.1 W,US
US10adam051,40.4166,-98.5341,616.0,ROSELAND 3.9 SSE,US
US10adam055,40.4396,-98.3449,616.0,GLENVIL 6.6 SW,US
US10adam056,40.58,-98.3717,616.0,HASTINGS 1.0 ESE,US
US10adam057,40.6607,-98.5535,616.0,PROSSER 2.2 SE,US
US10ante003,42.3374,-98.2405,568.1,ORCHARD 0.2 ENE,US
US10arth002,41.3955,101.4074,1068.9,PAXTON 18.9 N,US
US10bann001,41.6581,103.6151,1278.0,HARRISBURG 9.5 NE,US
US10bann005,41.6415,103.9481,1375.0,HARRISBURG 12.4 WNW,US
US10bann006,41.5589,103.7407,1366.1,HARRISBURG 0.2 NW,US
US10bann007,41.5037,103.7634,1366.1,SCOTTSBLUFF 25.5 SSW,US
US10bann008,41.6363,103.6842,1288.1,HARRISBURG 6.2 NE,US
