StationId,Latitude,Longitude,Elevation,Name,CountryCode,City,CityDistance
US10ceda014,42.3951,-97.0319,438.0,LAUREL 3.9 ESE,US,Concord,3.7368467550771287
US10dixo001,42.4273,-96.9774,463.0,WAYNE 13.7 NNE,US,Concord,4.918945656087495
US10doug025,41.3639,-96.1558,352.3,BENNINGTON 0.1 ESE,US,Washington,5.707572766032891
US10doug051,41.3553,-96.2138,341.1,BENNINGTON 3.0 W,US,Washington,4.733762128676225
US10doug054,41.3121,-96.1779,341.4,OMAHA 13.1 WNW,US,Washington,9.820841809906971
US10wash003,41.4692,-96.1369,378.9,BLAIR 5.2 S,US,Washington,9.895897223638872
US10wash012,41.4776,-96.2016,368.2,KENNARD 0.3 NNE,US,Washington,8.908723645493716
US1ALJF0054,33.4497,-87.0179,161.5,HUEYTOWN 1.4 NW,US,Concord,2.788915128520208
US1ALJF0068,33.4507,-87.1294,130.8,BESSEMER 11.1 WNW,US,Concord,8.571219598701399
US1ALJF0069,33.4658,-87.0249,181.1,CONCORD 0.4 ESE,US,Concord,1.3383407972932393
US1ALWX0002,32.0166,-87.2904,79.9,CAMDEN 1.0 NNE,US,Camden,1.8651240806190676
US1ARHM0007,33.7265,-93.6129,106.4,HOPE 4.2 NNW,US,Washington,8.31264413825307
US1AROC0002,33.589,-92.8625,51.5,CAMDEN 1.8 NNW,US,Camden,2.831691057705598
US1AROC0007,33.5961,-92.9051,86.0,CAMDEN 4.0 WNW,US,Camden,6.292413916754172
US1AROC0008,33.4915,-92.8172,58.8,CAMDEN 5.4 SSE,US,Camden,8.85046044564709
US1AROC0014,33.5965,-92.8699,49.4,CAMDEN 2.5 NW,US,Camden,3.9030137306742776
US1DCDC0001,38.9171,-76.9626,17.1,WASHINGTON 3.0 ENE,US,Washington,4.846576393817193
US1DCDC0002,38.9574,-77.0337,85.0,WASHINGTON 3.7 NNW,US,Washington,6.050168911974759
US1DCDC0003,38.9377,-77.0991,91.1,WASHINGTON 5.0 WNW,US,Washington,8.048273301643608
US1DCDC0006,38.8928,-76.9834,21.9,WASHINGTON 2.0 ESE,US,Washington,3.139574730859496
US1DCDC0007,38.8943,-76.9982,25.0,WASHINGTON 1.2 SE,US,Washington,1.9469715693644123
US1DCDC0008,38.8901,-76.9854,27.1,WASHINGTON 2.0 ESE,US,Washington,3.1283044971277265
US1DCDC0009,38.8766,-77.0224,3.0,WASHINGTON 2.0 SSW,US,Washington,3.1688654581356985
US1DCDC0010,38.9773,-77.0245,88.1,WASHINGTON 5.0 N,US,Washington,8.103842989473558
US1DCDC0011,38.9303,-77.0831,81.4,WASHINGTON 4.0 WNW,US,Washington,6.442245321147931
US1DCDC0014,38.9581,-77.0817,106.4,WASHINGTON 5.1 NW,US,Washington,8.201168949619554
US1DCDC0015,38.9203,-77.0456,50.6,WASHINGTON 1.9 WNW,US,Washington,3.0717425424691847
US1DCDC0019,38.8958,-77.037,9.1,THE WHITE HOUSE,US,Washington,2.0464955785510206
US1DCDC0026,38.9327,-76.9835,43.9,WASHINGTON 2.6 NE,US,Washington,4.212589477995617
US1DCDC0031,38.9436,-76.988,36.9,WASHINGTON 3.1 NNE,US,Washington,4.970237744085747
US1DCDC0034,38.9258,-77.0408,57.3,WASHINGTON 1.9 NW,US,Washington,3.161932245779126
US1DCDC0040,38.8965,-76.9769,8.2,WASHINGTON 2.2 ESE,US,Washington,3.529331476919683
US1DEKN0001,39.0326,-75.5169,9.8,FELTON 3.6 NE,US,Camden,8.158374628490568
US1DEKN0007,39.0907,-75.5123,13.1,MAGNOLIA 2.4 NW,US,Camden,3.974814157852392
US1DEKN0009,39.1297,-75.6125,18.3,DOVER 5.1 WSW,US,Camden,5.873505994014495
US1DEKN0012,39.0841,-75.4922,8.5,CAMDEN 3.7 ESE,US,Camden,5.8409548710600205
US1DEKN0015,39.1746,-75.5132,7.9,DOVER 1.1 NNE,US,Camden,9.219666225416669
US1DEKN0019,39.0722,-75.576,13.7,WYOMING 3.2 SSW,US,Camden,3.3972859505637145
US1DEKN0021,39.0784,-75.5292,13.7,MAGNOLIA 2.9 WNW,US,Camden,3.323419251930441
US1DEKN0024,39.0098,-75.5712,17.4,FELTON 0.4 E,US,Camden,9.99303288378401
US1DEKN0025,39.0725,-75.5478,16.5,WOODSIDE 1.1 E,US,Camden,3.0540359861265767
US1DEKN0026,39.0305,-75.5439,15.8,FELTON 2.4 NE,US,Camden,7.701635934437502
US1DEKN0028,39.0518,-75.4654,7.9,MAGNOLIA 1.4 SSE,US,Camden,9.497641526637114
US1DEKN0031,39.1611,-75.5179,4.3,DOVER 0.2 N,US,Camden,7.688595811763468
US1DEKN0032,39.151,-75.5201,8.5,DOVER 0.5 SSW,US,Camden,6.604541147720946
US1DEKN0036,39.0254,-75.6017,18.0,FELTON 1.7 NW,US,Camden,9.04460625296698
US1DEKN0037,39.1035,-75.4862,5.5,MAGNOLIA 2.4 NNW,US,Camden,6.138452341226502
US1Dixo4219,42.3226,-96.9829,421.8,CONCORD 4.23 S,US,Concord,6.834655161172181
US1FLOR0004,28.5824,-81.3086,34.1,WINTER PARK 2.3 ESE,US,Winter Park,3.9303489622787913
US1FLOR0009,28.5858,-81.3109,27.1,WINTER PARK 2.1 ESE,US,Winter Park,3.5626251260632635
US1FLOR0026,28.5722,-81.3958,30.2,ORLANDO 4.8 NNW,US,Winter Park,5.847943588308751
US1FLOR0027,28.5743,-81.3851,31.1,ORLANDO 4.9 N,US,Winter Park,4.840468814855914
US1FLOR0028,28.5443,-81.357,30.2,ORLANDO 2.9 NNE,US,Winter Park,6.198581067964792
US1FLOR0065,28.5371,-81.295,29.3,ORLANDO 5.3 ENE,US,Winter Park,8.384964493538703
US1FLSM0013,28.6134,-81.2854,25.6,WINTER PARK 3.7 ENE,US,Winter Park,5.962287902754504
US1FLSM0027,28.6462,-81.3805,41.1,ALTAMONTE SPRINGS 1.4 SE,US,Winter Park,6.341621846136689
US1FLSM0035,28.6548,-81.2865,26.2,CASSELBERRY 2.3 ESE,US,Winter Park,8.387587881073076
US1FLSM0036,28.6172,-81.2667,21.3,OVIEDO 5.9 WSW,US,Winter Park,7.834408857095361
US1FLSM0044,28.6401,-81.3493,27.7,MAITLAND 1.4 NE,US,Winter Park,4.608197980987239
US1FLSM0051,28.6419,-81.3247,23.8,CASSELBERRY 1.5 S,US,Winter Park,5.146299443193983
US1FLSM0052,28.6664,-81.2928,18.9,CASSELBERRY 1.9 E,US,Winter Park,9.027733378376425
US1FLSM0054,28.6147,-81.2879,27.1,WINTER PARK 3.6 ENE,US,Winter Park,5.770033466269216
US1GAPG0001,33.942,-84.7431,343.2,DALLAS 5.3 ENE,US,Dallas,9.56394808262406
US1GAPG0003,33.9554,-84.8314,262.1,DALLAS 2.5 N,US,Dallas,4.568008725029529
US1GAPG0005,33.8988,-84.7553,312.1,HIRAM 2.6 NNE,US,Dallas,8.170355213523917
US1GAPG0022,33.9451,-84.7502,335.6,DALLAS 5.0 ENE,US,Dallas,9.064365798381807
US1GAPK0002,33.1017,-84.3464,257.9,ZEBULON 0.3 WNW,US,Concord,8.669677556616033
US1GAPK0005,33.1011,-84.3441,260.3,ZEBULON 0.1 WNW,US,Concord,8.87412826230483
US1GATH0005,30.8403,-83.8033,59.7,BOSTON 3.4 NNW,US,Boston,5.52105709633496
US1GAWS0001,33.6994,-82.6717,167.0,WASHINGTON 4.8 ESE,US,Washington,7.688621264620405
US1GAWS0003,33.7533,-82.7181,176.5,WASHINGTON 1.9 NE,US,Washington,3.0081712417223305
US1IAWS0008,41.2411,-91.7715,218.2,WASHINGTON 5.8 SW,US,Washington,9.134216509416696
US1ILCK0064,41.5577,-87.6594,196.0,HOMEWOOD 0.1 ESE,US,Phoenix,6.468860697168968
US1ILCK0076,41.5345,-87.6646,206.0,FLOSSMOOR 1.1 ESE,US,Phoenix,9.043556567642012
US1ILCK0082,41.6598,-87.5529,178.0,BURNHAM-HEGEWISCH 1.6 NNW,US,Phoenix,8.390392731577474
US1ILCK0116,41.673,-87.6887,196.9,BLUE ISLAND 1.1 NNW,US,Phoenix,8.334169194889778
US1ILCK0146,41.5405,-87.5886,188.7,GLENWOOD 1.5 ESE,US,Phoenix,8.670548631254363
US1ILCK0170,41.5341,-87.6905,210.0,FLOSSMOOR 0.5 SW,US,Phoenix,9.965451495335884
US1ILCK0229,41.5319,-87.6641,202.1,FLOSSMOOR 1.2 ESE,US,Phoenix,9.30632058996278
US1ILCK0249,41.6243,-87.7233,189.3,MIDLOTHIAN 0.2 SSE,US,Phoenix,7.813961755171336
US1ILCK0250,41.6294,-87.7231,188.4,MIDLOTHIAN 0.2 NNE,US,Phoenix,7.918079546914249
US1ILCK0253,41.625,-87.7234,189.3,MIDLOTHIAN 0.1 SSE,US,Phoenix,7.83630641956864
US1ILCK0260,41.613,-87.7097,187.5,MIDLOTHIAN 1.2 SE,US,Phoenix,6.560737869678052
US1ILCK0261,41.6248,-87.7307,192.0,MIDLOTHIAN 0.3 WSW,US,Phoenix,8.42933486439822
US1ILCK0262,41.6215,-87.7331,192.3,MIDLOTHIAN 0.6 SW,US,Phoenix,8.572314172072847
US1ILCK0266,41.6238,-87.727,190.2,MIDLOTHIAN 0.2 SW,US,Phoenix,8.107510008923322
US1ILCK0296,41.5428,-87.6541,196.0,CHICAGO HEIGHTS 2.4 NNW,US,Phoenix,7.9134536517677745
US1ILCK0306,41.6155,-87.7507,199.3,OAK FOREST 0.6 N,US,Phoenix,9.976224590201248
US1ILCK0390,41.6726,-87.7181,182.0,ALSIP 0.9 E,US,Phoenix,9.916258870080243
US1ILTZ0023,40.7157,-89.4123,238.7,WASHINGTON 1.7 NE,US,Washington,2.1819670179030304
US1ILTZ0034,40.7188,-89.342,230.7,EUREKA 3.5 W,US,Washington,7.904649265658967
US1ILTZ0036,40.725,-89.4497,241.4,WASHINGTON 2.0 NNW,US,Washington,2.5877873089438994
US1ILTZ0044,40.7219,-89.4598,245.1,WASHINGTON 2.1 NW,US,Washington,2.8740045622513666
US1ILWF0004,40.7632,-89.4519,242.0,GERMANTOWN HILLS 0.9 ESE,US,Washington,6.644967035129304
US1ILWF0012,40.7846,-89.4822,219.2,GERMANTOWN HILLS 1.3 NW,US,Washington,9.738089678617095
US1ILWF0014,40.8092,-89.0546,219.8,EL PASO 5.2 NNW,US,El Paso,8.227938401103033
US1ILWF0018,40.6712,-89.0926,229.8,EL PASO 6.2 SW,US,El Paso,9.929981151638152
US1ILWF0020,40.7421,-89.1364,226.5,SECOR 0.1 NNW,US,El Paso,9.951326172503554
US1ILWF0021,40.7426,-89.0246,228.6,EL PASO 0.6 WNW,US,El Paso,0.5798585334585764
US1ILWF0028,40.7668,-89.5093,195.7,EAST PEORIA 6.9 NNE,US,Washington,9.352749377197952
US1INCR0002,40.6775,-86.5102,221.9,CAMDEN 4.9 NNE,US,Camden,7.904978954688963
US1INCR0006,40.5402,-86.5227,217.6,(K9EFY)FLORA 0.3 S,US,Camden,7.874577319004944
US1INCR0012,40.5895,-86.4668,201.5,CAMDEN 4.0 ESE,US,Camden,6.519877680338767
US1INCR0014,40.5442,-86.5111,213.4,FLORA 0.6 E,US,Camden,7.681313780216176
US1INDV0001,38.6754,-87.19,145.1,WASHINGTON 1.5 NW,US,Washington,3.2690632826896797
US1INDV0002,38.5796,-87.1417,141.1,WASHINGTON 5.7 SSE,US,Washington,8.913519803439797
