State Code,County Code,Site Num,Address,State,County,City,Date,NO2 Units,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Units,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Units,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Units,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI,Year,year,StationId,AWND,PGTM,PRCP,TAVG,TMAX,TMIN,TSUN,WDMV,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09,WT11,WT13,WT16,WT18,WT22,WS_Latitude,WS_Longitude,WS_Elevation,WS_Name,CountryCode,CityDistance,SiteId,O3_AQI_Range,O3_AQI_Range_Description,O3_AQI_Group,SO2_AQI_Range,SO2_AQI_Range_Description,SO2_AQI_Group,CO_AQI_Range,CO_AQI_Range_Description,CO_AQI_Group,NO2_AQI_Range,NO2_AQI_Range_Description,NO2_AQI_Group
4,13,3002,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,PHOENIX,2013-12-31,Parts per billion,32.695652,48.0,18,45,Parts per million,0.010105,0.02,9,19,Parts per billion,2.181818,6.0,23,9.0,Parts per million,0.779167,1.4,23,16.0,2013,2013,USC00300379,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.15,-76.3333,115.5,BALDWINSVILLE,US,9.56156588802015,00300379,Good,"Air quality is considered satisfactory, and air pollution poses little or no risk.",1,Good,"Air quality is considered satisfactory, and air pollution poses little or no risk.",1,Good,"Air quality is considered satisfactory, and air pollution poses little or no risk.",1,Good,"Air quality is considered satisfactory, and air pollution poses little or no risk.",1
4,13,3002,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,PHOENIX,2013-12-31,Parts per billion,32.695652,48.0,18,45,Parts per million,0.010105,0.02,9,19,Parts per billion,2.181818,6.0,23,9.0,Parts per million,0.779167,1.4,23,16.0,2013,2013,USC00300870,0.0,0.0,15.0,0.0,-56.0,-122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.2386,-76.1964,114.9,BREWERTON LOCK 23,US,8.114211922615304,00300870,Good,"Air quality is considered satisfactory, and air pollution poses little or no risk.",1,Good,"Air quality is considered satisfactory, and air pollution poses little or no risk.",1,Good,"Air quality is considered satisfactory, and air pollution poses little or no risk.",1,Good,"Air quality is considered satisfactory, and air pollution poses little or no risk.",1
4,13,3002,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,PHOENIX,2013-12-31,Parts per billion,32.695652,48.0,18,45,Parts per million,0.010105,0.02,9,19,Parts per billion,2.181818,6.0,23,9.0,Parts per million,0.779167,1.4,23,16.0,2013,2013,US1ILCK0064,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.5577,-87.6594,196.0,HOMEWOOD 0.1 ESE,US,6.468860697168968,ILCK0064,Good,"Air quality is considered satisfactory, and air pollution poses little or no risk.",1,Good,"Air quality is considered satisfactory, and air pollution poses little or no risk.",1,Good,"Air quality is considered satisfactory, and air pollution poses little or no risk.",1,Good,"Air quality is considered satisfactory, and air pollution poses little or no risk.",1
4,13,3002,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,PHOENIX,2013-12-31,Parts per billion,32.695652,48.0,18,45,Parts per million,0.010105,0.02,9,19,Parts per billion,2.181818,6.0,23,9.0,Parts per million,0.779167,1.4,23,16.0,2013,2013,US1ILCK0082,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.6598,-87.5529,178.0,BURNHAM-HEGEWISCH 1.6 NNW,US,8.390392731577474,ILCK0082,Good,"Air quality is considered satisfactory, and air pollution poses little or no risk.",1,Good,"Air quality is considered satisfactory, and air pollution poses little or no risk.",1,Good,"Air quality is considered satisfactory, and air pollution poses little or no risk.",1,Good,"Air quality is considered satisfactory, and air pollution poses little or no risk.",1
4,13,3002,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,PHOENIX,2013-12-31,Parts per billion,32.695652,48.0,18,45,Parts per million,0.010105,0.02,9,19,Parts per billion,2.181818,6.0,23,9.0,Parts per million,0.779167,1.4,23,16.0,2013,2013,US1NYOG0012,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.2,-76.26,115.8,CLAY 4.6 NW,US,4.5721548354723405,NYOG0012,Good,"Air quality is considered satisfactory, and air pollution poses little or no risk.",1,Good,"Air quality is considered satisfactory, and air pollution poses little or no risk.",1,Good,"Air quality is considered satisfactory, and air pollution poses little or no risk.",1,Good,"Air quality is considered satisfactory, and air pollution poses little or no risk.",1
4,13,3002,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,PHOENIX,2013-12-31,Parts per billion,32.695652,48.0,18,45,Parts per million,0.010105,0.02,9,19,Parts per billion,2.181818,6.0,23,9.0,Parts per million,0.779167,1.4,23,16.0,2013,2013,US1ILCK0146,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.5405,-87.5886,188.7,GLENWOOD 1.5 ESE,US,8.670548631254363,ILCK0146,Good,"Air quality is considered satisfactory, and air pollution poses little or no risk.",1,Good,"Air quality is considered satisfactory, and air pollution poses little or no risk.",1,Good,"Air quality is considered satisfactory, and air pollution poses little or no risk.",1,Good,"Air quality is considered satisfactory, and air pollution poses little or no risk.",1
4,13,3002,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,PHOENIX,2013-12-31,Parts per billion,32.695652,48.0,18,45,Parts per million,0.010105,0.02,9,19,Parts per billion,2.181818,6.0,23,9.0,Parts per million,0.779167,1.4,23,16.0,2013,2013,US1NYOG0046,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.1951,-76.2883,118.9,BALDWINSVILLE 3.5 NE,US,4.107544105427583,NYOG0046,Good,"Air quality is considered satisfactory, and air pollution poses little or no risk.",1,Good,"Air quality is considered satisfactory, and air pollution poses little or no risk.",1,Good,"Air quality is considered satisfactory, and air pollution poses little or no risk.",1,Good,"Air quality is considered satisfactory, and air pollution poses little or no risk.",1
4,13,9997,4530 N 17TH AVENUE,Arizona,Maricopa,PHOENIX,2013-12-31,Parts per billion,26.958333,41.0,18,39,Parts per million,0.011474,0.024,9,22,Parts per billion,1.970833,6.6,21,9.0,Parts per million,0.983333,1.7,23,19.0,2013,2013,USC00300379,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.15,-76.3333,115.5,BALDWINSVILLE,US,9.56156588802015,00300379,Good,"Air quality is considered satisfactory, and air pollution poses little or no risk.",1,Good,"Air quality is considered satisfactory, and air pollution poses little or no risk.",1,Good,"Air quality is considered satisfactory, and air pollution poses little or no risk.",1,Good,"Air quality is considered satisfactory, and air pollution poses little or no risk.",1
4,13,9997,4530 N 17TH AVENUE,Arizona,Maricopa,PHOENIX,2013-12-31,Parts per billion,26.958333,41.0,18,39,Parts per million,0.011474,0.024,9,22,Parts per billion,1.970833,6.6,21,9.0,Parts per million,0.983333,1.7,23,19.0,2013,2013,USC00300870,0.0,0.0,15.0,0.0,-56.0,-122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.2386,-76.1964,114.9,BREWERTON LOCK 23,US,8.114211922615304,00300870,Good,"Air quality is considered satisfactory, and air pollution poses little or no risk.",1,Good,"Air quality is considered satisfactory, and air pollution poses little or no risk.",1,Good,"Air quality is considered satisfactory, and air pollution poses little or no risk.",1,Good,"Air quality is considered satisfactory, and air pollution poses little or no risk.",1
4,13,9997,4530 N 17TH AVENUE,Arizona,Maricopa,PHOENIX,2013-12-31,Parts per billion,26.958333,41.0,18,39,Parts per million,0.011474,0.024,9,22,Parts per billion,1.970833,6.6,21,9.0,Parts per million,0.983333,1.7,23,19.0,2013,2013,US1ILCK0064,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.5577,-87.6594,196.0,HOMEWOOD 0.1 ESE,US,6.468860697168968,ILCK0064,Good,"Air quality is considered satisfactory, and air pollution poses little or no risk.",1,Good,"Air quality is considered satisfactory, and air pollution poses little or no risk.",1,Good,"Air quality is considered satisfactory, and air pollution poses little or no risk.",1,Good,"Air quality is considered satisfactory, and air pollution poses little or no risk.",1
