City,County,State,Min Year,Max Year,Year Difference
Vallejo,Solano,California,2000,2015,15
Phoenix,Maricopa,Arizona,2000,2015,15
Baton Rouge,East Baton Rouge,Louisiana,2000,2015,15
Winter Park,Orange,Florida,2000,2015,15
Bethel Island,Contra Costa,California,2000,2015,15
Lompoc,Santa Barbara,California,2000,2015,15
San Pablo,Contra Costa,California,2000,2015,15
Camden,Camden,New Jersey,2000,2015,15
Capitan,Santa Barbara,California,2000,2015,15
Concord,Contra Costa,California,2000,2015,15
New York,Queens,New York,2001,2015,14
El Paso,El Paso,Texas,2001,2015,14
Rubidoux,Riverside,California,2001,2015,14
Kansas City,Wyandotte,Kansas,2000,2014,14
Costa Mesa,Orange,California,2000,2014,14
Vandenberg Air Force Base,Santa Barbara,California,2000,2014,14
Los Angeles,Los Angeles,California,2001,2015,14
Victorville,San Bernardino,California,2001,2015,14
Washington,District of Columbia,District Of Columbia,2000,2014,14
East Saint Louis,Saint Clair,Illinois,2001,2014,13
Tucson,Pima,Arizona,2002,2015,13
Calexico,Imperial,California,2002,2015,13
New York,Bronx,New York,2002,2015,13
Dallas,Dallas,Texas,2002,2015,13
Long Beach,Los Angeles,California,2000,2013,13
Welby,Adams,Colorado,2000,2013,13
Arden-Arcade,Sacramento,California,2002,2014,12
Philadelphia,Philadelphia,Pennsylvania,2002,2013,11
Boston,Suffolk,Massachusetts,2003,2013,10
