City,County,State,Address,State Code,County Code,Site Num,address,latitude,longitude,formatted_address,ClosestStation,StationDistance,StationLatitude,StationLongitude
Phoenix,Maricopa,Arizona,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,4,13,3002,"1645 E ROOSEVELT ST-CENTRAL PHOENIX STN, Phoenix, Arizona",33.4584262,-112.0465744,"1645 E Roosevelt St, Phoenix, AZ 85006, USA",US1TXFD0003,1120.5038274664907,34.1176,-99.9406
Scottsdale,Maricopa,Arizona,2857 N MILLER RD-S SCOTTSDALE STN,4,13,3003,"2857 N MILLER RD-S SCOTTSDALE STN, Scottsdale, Arizona",33.4797648,-111.9172391,"2857 N Miller Rd, Scottsdale, AZ 85257, USA",US1TXFD0003,1108.3065401658398,34.1176,-99.9406
Tucson,Pima,Arizona,"1237 S. BEVERLY , TUCSON",4,19,1011,"1237 S. BEVERLY , TUCSON, Tucson, Arizona",32.2062306,-110.8793786,"1237 S Beverly Ave, Tucson, AZ 85711, USA",US1TXJO0001,1026.371133446879,32.7776,-99.9521
Concord,Contra Costa,California,2956-A TREAT BOULEVARD,6,13,2,"2956-A TREAT BOULEVARD, Concord, California",37.9362718,-122.025806,"2956 Treat Blvd a, Concord, CA 94518, USA",US10furn006,1913.0723961015308,40.0096,-99.9996
Bethel Island,Contra Costa,California,5551 BETHEL ISLAND RD,6,13,1002,"5551 BETHEL ISLAND RD, Bethel Island, California",38.006241,-121.643328,"5551 Bethel Island Rd, Oakley, CA 94561, USA",US10furn006,1878.6566284152798,40.0096,-99.9996
San Pablo,Contra Costa,California,"UNIT 759 EL PORTAL SHOPPING CENTER, San Pablo",6,13,1003,"UNIT 759 EL PORTAL SHOPPING CENTER, San Pablo, San Pablo, California",37.9621457,-122.3455263,"San Pablo, CA, USA",US10furn006,1939.617692175482,40.0096,-99.9996
Pittsburg,Contra Costa,California,"583 W. 10TH ST., PITTSBURG",6,13,3001,"583 W. 10TH ST., PITTSBURG, Pittsburg, California",38.0291956,-121.8969494,"583 W 10th St, Pittsburg, CA 94565, USA",US10furn006,1899.6593374621243,40.0096,-99.9996
Calexico,Imperial,California,"1029 ETHEL ST, CALEXICO HIGH SCHOOL",6,25,5,"1029 ETHEL ST, CALEXICO HIGH SCHOOL, Calexico, California",32.6760968,-115.4883507,"1029 Ethel St, Calexico, CA 92231, USA",US1TXKX0003,1449.7382006009873,33.4873,-99.9437
Bakersfield,Kern,California,"5558 California Ave., Bakersfield CA 93309",6,29,14,"5558 California Ave., Bakersfield CA 93309, Bakersfield, California",35.356401,-119.0626585,"5558 California Ave, Bakersfield, CA 93309, USA",USC00142560,1718.1553361205758,37.0458,-99.9964
Burbank,Los Angeles,California,"228 W. PALM AVE., BURBANK",6,37,1002,"228 W. PALM AVE., BURBANK, Burbank, California",34.1760151,-118.3169943,"228 W Palm Ave, Burbank, CA 91502, USA",US1OKHN0001,1679.4762271787533,34.9174,-99.976
Los Angeles,Los Angeles,California,"1630 N MAIN ST, LOS ANGELES",6,37,1103,"1630 N MAIN ST, LOS ANGELES, Los Angeles, California",34.0659568,-118.2285241,"1630 N Main St, Los Angeles, CA 90012, USA",US1OKHN0001,1673.1640029069436,34.9174,-99.976
Long Beach,Los Angeles,California,"3648 N. LONG BEACH BLVD., LONG BEACH",6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH, Long Beach, California",33.8420753,-118.1921414,"3648 N Long Beach Blvd, Long Beach, CA 90807, USA",US1OKHN0001,1673.6649747804242,34.9174,-99.976
Hawthorne,Los Angeles,California,"5234 W. 120TH ST., HAWTHORNE",6,37,5001,"5234 W. 120TH ST., HAWTHORNE, Hawthorne, California",33.92358189999999,-118.3711918,"5234 W 120th St, Hawthorne, CA 90250, USA",US1OKHN0001,1688.5546608472223,34.9174,-99.976
